"stimulus","rt","response","phase","word","carrier","block","wordAccent","wordAccentStep","carrierAccent","carrierAccentStep","option_0","option_1","sound","trial_index","time_elapsed","participantID","answer"
"<h1>どちらの単語が聞こえましたか</h1>","600","0","iden_exp","hana","deta","1","U","6","A","1","hanaU","hanaU","hanaU06-detaA01","266","37","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","513","1","iden_exp","hana","deta","1","A","9","A","7","hanaA","hanaU","hanaA09-detaA07","268","37","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","563","1","iden_exp","hana","deta","1","U","1","A","9","hanaU","hanaU","hanaU01-detaA09","270","37","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","701","1","iden_exp","hana","deta","1","A","1","A","1","hanaA","hanaU","hanaA01-detaA01","272","37","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","630","1","iden_exp","hana","deta","1","A","5","A","5","hanaA","hanaU","hanaA05-detaA05","274","38","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","694","1","iden_exp","hana","deta","1","A","5","A","3","hanaA","hanaU","hanaA05-detaA03","276","38","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","633","1","iden_exp","hana","deta","1","U","3","A","9","hanaU","hanaU","hanaU03-detaA09","278","38","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","485","1","iden_exp","hana","deta","1","U","5","U","6","hanaU","hanaU","hanaU05-detaU06","280","38","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","484","1","iden_exp","hana","deta","1","U","6","U","9","hanaU","hanaU","hanaU06-detaU09","282","38","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","500","0","iden_exp","hana","deta","1","U","9","A","1","hanaU","hanaU","hanaU09-detaA01","284","38","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","642","1","iden_exp","hana","deta","1","A","6","A","7","hanaA","hanaU","hanaA06-detaA07","286","39","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","831","1","iden_exp","hana","deta","1","U","1","A","3","hanaU","hanaU","hanaU01-detaA03","288","39","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","581","1","iden_exp","hana","deta","1","A","11","U","6","hanaA","hanaA","hanaA11-detaU06","290","39","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","543","1","iden_exp","hana","deta","1","U","3","U","5","hanaU","hanaU","hanaU03-detaU05","292","39","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","533","1","iden_exp","hana","deta","1","U","1","U","6","hanaU","hanaU","hanaU01-detaU06","294","39","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","470","0","iden_exp","hana","deta","1","U","11","A","7","hanaU","hanaU","hanaU11-detaA07","296","39","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","589","0","iden_exp","hana","deta","1","A","3","A","1","hanaA","hanaU","hanaA03-detaA01","298","40","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","596","0","iden_exp","hana","deta","1","A","3","U","11","hanaA","hanaA","hanaA03-detaU11","300","40","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","647","1","iden_exp","hana","deta","1","U","11","U","9","hanaU","hanaU","hanaU11-detaU09","302","40","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","629","0","iden_exp","hana","deta","1","A","1","A","9","hanaA","hanaU","hanaA01-detaA09","304","40","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","611","0","iden_exp","hana","deta","1","A","3","A","9","hanaA","hanaU","hanaA03-detaA09","306","40","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","572","1","iden_exp","hana","deta","1","A","11","U","11","hanaA","hanaA","hanaA11-detaU11","308","40","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","554","1","iden_exp","hana","deta","1","A","7","A","3","hanaA","hanaU","hanaA07-detaA03","310","40","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","630","0","iden_exp","hana","deta","1","U","1","U","7","hanaU","hanaU","hanaU01-detaU07","312","40","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","538","0","iden_exp","hana","deta","1","U","7","A","5","hanaU","hanaU","hanaU07-detaA05","314","40","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","500","1","iden_exp","hana","deta","1","U","9","U","5","hanaU","hanaU","hanaU09-detaU05","316","40","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","789","0","iden_exp","hana","deta","1","A","1","A","7","hanaA","hanaU","hanaA01-detaA07","318","40","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","743","1","iden_exp","hana","deta","1","U","6","A","7","hanaU","hanaU","hanaU06-detaA07","320","40","paper took","hanaU"
